static_array_whole_borrow_reads_garbage	0	-	0	0	
static_mut_elided_struct_region_write_admits	1	E0597x1,nocodex1	-	-	-
static_mut_elided_struct_region_write_admits__static_written	1	E0597x1,nocodex1	-	-	-
static_mut_str_slice_write_admits	1	E0597x1,nocodex1	-	-	-
static_mut_write_through_borrow_admits	1	E0597x1,nocodex1	-	-	-
static_mut_write_through_borrow_admits__allowlint	1	E0597x1,nocodex1	-	-	-
static_ref_nested_borrow_region_not_static_refused	0	-	0	0	
struct_lit_field_invariant_region_static_refused	1	E0597x1,nocodex1	-	-	-
struct_lit_invariant_binder_first_wins_covariant_region_refused	0	-	0	5	
struct_named_like_type_param_refused	0	-	0	0	
struct_pattern_name_check_skipped_under_ref	1	E0308x1,nocodex1	-	-	-
struct_variant_field_under_ref_scrutinee_binds_byvalue_refuses	0	-	0	14	
trait_default_body_call	1	E0599x1,nocodex1	-	-	-
trait_default_body_type	1	E0308x1,nocodex1	-	-	-
trait_impl_for_ref_method_call_receiver_refused	0	-	0	19	
tuple_elem_shared_borrow_through_ref_dangles_run	0	-	0	0	
tuple_enum_elem_eq_variadic_impl_return_lost_refused	0	-	0	0	
tuplestruct_ctor_declared_binder_name_admits	1	nocodex2	-	-	-
tuplestruct_ctor_declared_binder_name_refused	0	-	0	7	
tuplestruct_ctor_declared_binder_name_refused__copy	0	-	0	7	
tuplestruct_door_default_ref_mode_not_carried	0	-	0	1	drops=1 
unsized_local_binds_place_dropped_after_free	1	E0277x1,nocodex1	-	-	-
user_type_alias_shadows_stdlib_type_param_refused	0	-	0	3	
variant_payload_char_literal_nomatch	0	-	0	0	
variant_payload_nested_struct_sub_double_drops	0	-	0	0	
vec_elem_ref_copied_out_src_assigned_admits	1	E0506x1,nocodex1	-	-	-
vec_holder_moved_src_assigned_admits	1	E0506x1,nocodex1	-	-	-
vec_index_store_len_in_index_refused	1	E0502x1,nocodex1	-	-	-
vec_index_store_value_borrows_vec_refused	0	-	0	0	
vec_mutref_elem_push_store_rehomed_admits	1	E0597x1,nocodex1	-	-	-
vec_mutref_elem_push_store_rehomed_refused	0	-	0	0	
vec_of_mutref_elem_receiver_store_loan_unheld_admits	1	E0502x1,nocodex1	-	-	-
vec_push_arg_reads_loan_refused	0	-	0	0	
weak_local_never_dropped	0	-	0	0	
where_impl_region_static_bound_unused_refused	0	-	0	0	
where_struct_literal_instantiation_rigid_refused	0	-	0	4	
where_struct_literal_instantiation_rigid_refused__copy	0	-	0	4	
