var.bc_structlit_field_lt_static_ok.Foo.@0=Co	2
var.bc_tmcb_erased_call_local.Holder.@0=Co	2
var.bc_tmcb_erased_call_param_twin.Holder.@0=Co	2
var.bc_tmcb_erased_method_local.Holder.@0=Co	2
var.bc_tmcb_erased_method_outlives_twin.Holder.@0=Co	2
var.bc_wf_enum_mention::E.@0=Co	2
var.bc_wf_generic_instance.S.@0=Co	2
var.bc_wf_impl_header_fail.S.@0=Co	1
var.bc_wf_impl_header_return.Foo.@0=Co	2
var.bc_wf_impl_header_return.Foo.@1=Co	2
var.bc_wf_impl_header.S.@0=Co	2
var.bc_wf_impl_scope_fail.Foo.@0=Co	1
var.bc_wf_impl_scope_fail.Foo.@1=Co	1
var.bc_wf_impl_scope.Foo.@0=Co	2
var.bc_wf_impl_scope.Foo.@1=Co	2
var.bc_wf_impl_tparam_bound.S.@0=Co	2
var.bc_wf_impl_where.Foo.@0=Co	2
var.bc_wf_impl_where.Foo.@1=Co	2
var.bc_wf_nested_pred.Inner.@0=Co	2
var.bc_wf_nested_pred.Inner.@1=Co	2
var.bc_wf_nested_pred.Outer.@0=Co	2
var.bc_wf_nested_pred.Outer.@1=Co	2
var.bc_wf_param_mention_fail.Foo.@0=Co	2
var.bc_wf_param_mention_fail.Foo.@1=Co	2
var.bc_wf_param_mention.Foo.@0=Co	2
var.bc_wf_param_mention.Foo.@1=Co	2
var.bc_wf_trait_impl_header.S.@0=Co	2
var.borrow_struct_held_mut.Guard.@0=Co	2
var.c11_lifetime_param_struct.Wrap.@0=Co	2
var.char_literal.Borrowed.@0=Co	2
var.core_2_5_mut_ref_no_auto_copy.Holder.@0=Co	2
var.lifetime_l4_multi_input_elision.Foo2.@0=Co	2
var.lifetime_l4_multi_input_elision.Foo2.@1=Co	2
var.lifetime_trait_bound_arg.S.@0=Co	2
var.lifetime_underscore.S.@0=Co	2
var.lt4.R.@0=Co	2
var.struct_lifetime_generic.Slice.@0=BiVar	2
var.struct_lifetime_param.View.@0=BiVar	2
var.struct_lifetime.Wrapper.@0=Co	2
var.struct_with_mut_ref_not_auto_copy.S.@0=Co	2
var.test.WritView.@0=BiVar	2
var.where_on_struct_enum.Holder.@0=Co	2
var.where_on_struct_enum::Wrap.@0=Co	2
var.x.Holder.@0=Co	2
